date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:58:32	26962/26962	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Jan%202024%2009:22:18%20GMT	https://dcmedya.com/assets/uploads/sites/1705569738_b4a6acb840c7e88ac2a8.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/uploads/sites/1705569738_b4a6acb840c7e88ac2a8.png	(from https://dcmedya.com/)
22:58:33	50146/50146	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2019:58:34%20GMT	https://dcmedya.com/services	C:/My%20Web%20Sites/sssss/dcmedya.com/services.html	(from https://dcmedya.com/)
22:58:35	10492/10492	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2019:58:34%20GMT	https://dcmedya.com/api	C:/My%20Web%20Sites/sssss/dcmedya.com/api.html	(from https://dcmedya.com/)
22:58:36	10015/10015	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2019:58:35%20GMT	https://dcmedya.com/signup	C:/My%20Web%20Sites/sssss/dcmedya.com/signup.html	(from https://dcmedya.com/)
22:58:36	417245/417245	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2017:46:36%20GMT	https://dcmedya.com/assets/osweld/img/main-img.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/osweld/img/main-img.png	(from https://dcmedya.com/)
22:58:37	949775/949775	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2017:46:36%20GMT	https://dcmedya.com/assets/osweld/img/topBg.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/osweld/img/topBg.png	(from https://dcmedya.com/)
22:58:37	1294/1294	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2017:46:36%20GMT	https://dcmedya.com/assets/osweld/img/phone.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/osweld/img/phone.png	(from https://dcmedya.com/)
22:58:37	289274/289274	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2017:46:36%20GMT	https://dcmedya.com/assets/osweld/img/notebook.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/osweld/img/notebook.png	(from https://dcmedya.com/)
22:58:38	1261/1261	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2017:46:36%20GMT	https://dcmedya.com/assets/osweld/img/tablet.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/osweld/img/tablet.png	(from https://dcmedya.com/)
22:58:39	1433/1433	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2017:46:36%20GMT	https://dcmedya.com/assets/osweld/img/desktop.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/osweld/img/desktop.png	(from https://dcmedya.com/)
22:58:40	9168/9168	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20Jan%202024%2019:58:40%20GMT	https://dcmedya.com/resetpassword	C:/My%20Web%20Sites/sssss/dcmedya.com/resetpassword.html	(from https://dcmedya.com/)
22:58:41	7322/7322	---M--	200	added ('OK')	image/png	date:Wed,%2017%20Jan%202024%2017:46:33%20GMT	https://dcmedya.com/assets/img/modal-icon.png	C:/My%20Web%20Sites/sssss/dcmedya.com/assets/img/modal-icon.png	(from https://dcmedya.com/)
22:58:45	56/56	---MCZ	302	error ('Found')	text/plain	date:Fri,%2019%20Jan%202024%2019:58:44%20GMT	https://unpkg.com/swiper@8/swiper-bundle.min.js	C:/My%20Web%20Sites/sssss/unpkg.com/swiper@8/swiper-bundle.min.15.delayed	(from https://dcmedya.com/)
22:58:46	143706/143706	---MCZ	200	added ('OK')	application/javascript	etag:%222315a-9NyNRghnOcWBIRhbLQ9OGQcQ8Rs%22	https://unpkg.com/swiper@8.4.7/swiper-bundle.min.js	C:/My%20Web%20Sites/sssss/unpkg.com/swiper@8.4.7/swiper-bundle.min.js	(from https://dcmedya.com/)
